,Episodes,Avg_rewards,alpha,gamma,epsilon
233,2331,43.9,0.6,0.99,0.1
234,2341,38.1,0.6,0.99,0.1
235,2351,38.6,0.6,0.99,0.1
236,2361,40.3,0.6,0.99,0.1
237,2371,27.2,0.6,0.99,0.1
238,2381,42.3,0.6,0.99,0.1
239,2391,35.1,0.6,0.99,0.1
240,2401,54.1,0.6,0.99,0.1
241,2411,57.2,0.6,0.99,0.1
242,2421,42.3,0.6,0.99,0.1
243,2431,63.2,0.6,0.99,0.1
244,2441,54.9,0.6,0.99,0.1
245,2451,36.9,0.6,0.99,0.1
246,2461,38.9,0.6,0.99,0.1
247,2471,45.2,0.6,0.99,0.1
248,2481,39.5,0.6,0.99,0.1
249,2491,34.7,0.6,0.99,0.1
250,2501,53.3,0.6,0.99,0.1
251,2511,32.0,0.6,0.99,0.1
252,2521,32.2,0.6,0.99,0.1
253,2531,34.5,0.6,0.99,0.1
254,2541,36.3,0.6,0.99,0.1
255,2551,56.9,0.6,0.99,0.1
256,2561,42.6,0.6,0.99,0.1
257,2571,34.0,0.6,0.99,0.1
258,2581,34.3,0.6,0.99,0.1
259,2591,40.6,0.6,0.99,0.1
260,2601,23.6,0.6,0.99,0.1
261,2611,30.4,0.6,0.99,0.1
262,2621,22.8,0.6,0.99,0.1
263,2631,30.0,0.6,0.99,0.1
264,2641,31.4,0.6,0.99,0.1
265,2651,31.5,0.6,0.99,0.1
266,2661,30.5,0.6,0.99,0.1
267,2671,40.6,0.6,0.99,0.1
268,2681,31.1,0.6,0.99,0.1
269,2691,26.0,0.6,0.99,0.1
270,2701,38.8,0.6,0.99,0.1
271,2711,29.6,0.6,0.99,0.1
272,2721,40.4,0.6,0.99,0.1
273,2731,39.4,0.6,0.99,0.1
274,2741,30.8,0.6,0.99,0.1
275,2751,24.6,0.6,0.99,0.1
276,2761,36.7,0.6,0.99,0.1
277,2771,34.8,0.6,0.99,0.1
278,2781,49.7,0.6,0.99,0.1
279,2791,36.1,0.6,0.99,0.1
280,2801,40.6,0.6,0.99,0.1
281,2811,72.3,0.6,0.99,0.1
282,2821,34.5,0.6,0.99,0.1
283,2831,36.3,0.6,0.99,0.1
284,2841,42.6,0.6,0.99,0.1
285,2851,33.4,0.6,0.99,0.1
286,2861,44.1,0.6,0.99,0.1
287,2871,42.1,0.6,0.99,0.1
288,2881,32.0,0.6,0.99,0.1
289,2891,29.8,0.6,0.99,0.1
290,2901,33.6,0.6,0.99,0.1
291,2911,67.2,0.6,0.99,0.1
292,2921,40.2,0.6,0.99,0.1
293,2931,29.1,0.6,0.99,0.1
294,2941,37.7,0.6,0.99,0.1
295,2951,30.7,0.6,0.99,0.1
296,2961,47.0,0.6,0.99,0.1
297,2971,29.2,0.6,0.99,0.1
298,2981,30.3,0.6,0.99,0.1
299,2991,41.5,0.6,0.99,0.1
300,3001,45.8,0.6,0.99,0.1
301,3011,44.4,0.6,0.99,0.1
302,3021,49.5,0.6,0.99,0.1
303,3031,34.4,0.6,0.99,0.1
304,3041,39.7,0.6,0.99,0.1
305,3051,37.4,0.6,0.99,0.1
306,3061,67.6,0.6,0.99,0.1
307,3071,53.8,0.6,0.99,0.1
308,3081,40.1,0.6,0.99,0.1
309,3091,27.7,0.6,0.99,0.1
310,3101,42.3,0.6,0.99,0.1
311,3111,37.1,0.6,0.99,0.1
312,3121,36.9,0.6,0.99,0.1
313,3131,46.6,0.6,0.99,0.1
314,3141,40.5,0.6,0.99,0.1
315,3151,41.0,0.6,0.99,0.1
316,3161,41.8,0.6,0.99,0.1
317,3171,51.6,0.6,0.99,0.1
318,3181,47.2,0.6,0.99,0.1
319,3191,48.2,0.6,0.99,0.1
320,3201,31.9,0.6,0.99,0.1
321,3211,42.9,0.6,0.99,0.1
322,3221,29.6,0.6,0.99,0.1
323,3231,46.5,0.6,0.99,0.1
324,3241,45.5,0.6,0.99,0.1
325,3251,49.1,0.6,0.99,0.1
326,3261,49.8,0.6,0.99,0.1
327,3271,102.3,0.6,0.99,0.1
328,3281,63.4,0.6,0.99,0.1
329,3291,53.9,0.6,0.99,0.1
330,3301,65.8,0.6,0.99,0.1
331,3311,53.6,0.6,0.99,0.1
332,3321,73.0,0.6,0.99,0.1
333,3331,55.8,0.6,0.99,0.1
334,3341,38.7,0.6,0.99,0.1
335,3351,37.1,0.6,0.99,0.1
336,3361,26.9,0.6,0.99,0.1
337,3371,32.2,0.6,0.99,0.1
338,3381,44.4,0.6,0.99,0.1
339,3391,47.6,0.6,0.99,0.1
340,3401,41.2,0.6,0.99,0.1
341,3411,38.7,0.6,0.99,0.1
342,3421,43.1,0.6,0.99,0.1
343,3431,53.0,0.6,0.99,0.1
344,3441,63.7,0.6,0.99,0.1
345,3451,59.4,0.6,0.99,0.1
346,3461,59.4,0.6,0.99,0.1
347,3471,29.1,0.6,0.99,0.1
348,3481,49.3,0.6,0.99,0.1
349,3491,44.0,0.6,0.99,0.1
350,3501,50.6,0.6,0.99,0.1
351,3511,53.9,0.6,0.99,0.1
352,3521,81.4,0.6,0.99,0.1
353,3531,62.4,0.6,0.99,0.1
354,3541,47.7,0.6,0.99,0.1
355,3551,49.8,0.6,0.99,0.1
356,3561,88.1,0.6,0.99,0.1
357,3571,48.2,0.6,0.99,0.1
358,3581,51.9,0.6,0.99,0.1
359,3591,56.2,0.6,0.99,0.1
360,3601,28.7,0.6,0.99,0.1
361,3611,40.9,0.6,0.99,0.1
362,3621,44.5,0.6,0.99,0.1
363,3631,51.5,0.6,0.99,0.1
364,3641,62.8,0.6,0.99,0.1
365,3651,102.4,0.6,0.99,0.1
366,3661,66.4,0.6,0.99,0.1
367,3671,45.9,0.6,0.99,0.1
368,3681,46.3,0.6,0.99,0.1
369,3691,43.2,0.6,0.99,0.1
370,3701,55.8,0.6,0.99,0.1
371,3711,42.8,0.6,0.99,0.1
372,3721,85.8,0.6,0.99,0.1
373,3731,63.1,0.6,0.99,0.1
374,3741,71.8,0.6,0.99,0.1
375,3751,34.7,0.6,0.99,0.1
376,3761,38.3,0.6,0.99,0.1
377,3771,35.1,0.6,0.99,0.1
378,3781,40.5,0.6,0.99,0.1
379,3791,44.9,0.6,0.99,0.1
380,3801,75.4,0.6,0.99,0.1
381,3811,73.0,0.6,0.99,0.1
382,3821,82.9,0.6,0.99,0.1
383,3831,131.0,0.6,0.99,0.1
384,3841,39.2,0.6,0.99,0.1
385,3851,88.6,0.6,0.99,0.1
386,3861,55.8,0.6,0.99,0.1
387,3871,89.1,0.6,0.99,0.1
388,3881,75.8,0.6,0.99,0.1
389,3891,50.5,0.6,0.99,0.1
390,3901,51.6,0.6,0.99,0.1
391,3911,38.9,0.6,0.99,0.1
392,3921,89.0,0.6,0.99,0.1
393,3931,46.5,0.6,0.99,0.1
394,3941,48.8,0.6,0.99,0.1
395,3951,80.4,0.6,0.99,0.1
396,3961,57.4,0.6,0.99,0.1
397,3971,79.0,0.6,0.99,0.1
398,3981,43.5,0.6,0.99,0.1
399,3991,57.2,0.6,0.99,0.1
400,4001,66.1,0.6,0.99,0.1
401,4011,57.0,0.6,0.99,0.1
402,4021,60.9,0.6,0.99,0.1
403,4031,64.1,0.6,0.99,0.1
404,4041,49.6,0.6,0.99,0.1
405,4051,85.0,0.6,0.99,0.1
406,4061,103.5,0.6,0.99,0.1
407,4071,84.3,0.6,0.99,0.1
408,4081,61.0,0.6,0.99,0.1
409,4091,61.4,0.6,0.99,0.1
410,4101,57.7,0.6,0.99,0.1
411,4111,60.5,0.6,0.99,0.1
412,4121,62.4,0.6,0.99,0.1
413,4131,101.2,0.6,0.99,0.1
414,4141,50.3,0.6,0.99,0.1
415,4151,78.6,0.6,0.99,0.1
416,4161,100.3,0.6,0.99,0.1
