,Episodes,Avg_rewards,alpha,gamma,epsilon
225,2251,118.9,0.6,0.99,0.1
226,2261,130.1,0.6,0.99,0.1
227,2271,87.5,0.6,0.99,0.1
228,2281,102.7,0.6,0.99,0.1
229,2291,109.6,0.6,0.99,0.1
230,2301,153.5,0.6,0.99,0.1
231,2311,102.7,0.6,0.99,0.1
232,2321,187.6,0.6,0.99,0.1
233,2331,146.5,0.6,0.99,0.1
234,2341,112.5,0.6,0.99,0.1
235,2351,123.3,0.6,0.99,0.1
236,2361,116.7,0.6,0.99,0.1
237,2371,126.9,0.6,0.99,0.1
238,2381,203.1,0.6,0.99,0.1
239,2391,129.3,0.6,0.99,0.1
240,2401,244.1,0.6,0.99,0.1
241,2411,151.0,0.6,0.99,0.1
242,2421,216.9,0.6,0.99,0.1
243,2431,220.5,0.6,0.99,0.1
244,2441,97.9,0.6,0.99,0.1
245,2451,147.6,0.6,0.99,0.1
246,2461,135.9,0.6,0.99,0.1
247,2471,145.1,0.6,0.99,0.1
248,2481,81.1,0.6,0.99,0.1
249,2491,169.9,0.6,0.99,0.1
250,2501,150.5,0.6,0.99,0.1
251,2511,162.5,0.6,0.99,0.1
252,2521,198.8,0.6,0.99,0.1
253,2531,164.7,0.6,0.99,0.1
254,2541,129.3,0.6,0.99,0.1
255,2551,151.7,0.6,0.99,0.1
256,2561,163.4,0.6,0.99,0.1
257,2571,171.8,0.6,0.99,0.1
258,2581,105.6,0.6,0.99,0.1
259,2591,203.3,0.6,0.99,0.1
260,2601,72.0,0.6,0.99,0.1
261,2611,141.9,0.6,0.99,0.1
262,2621,123.1,0.6,0.99,0.1
263,2631,116.6,0.6,0.99,0.1
264,2641,158.1,0.6,0.99,0.1
265,2651,223.8,0.6,0.99,0.1
266,2661,181.5,0.6,0.99,0.1
267,2671,133.0,0.6,0.99,0.1
268,2681,111.7,0.6,0.99,0.1
269,2691,133.2,0.6,0.99,0.1
270,2701,126.5,0.6,0.99,0.1
271,2711,97.5,0.6,0.99,0.1
272,2721,215.4,0.6,0.99,0.1
273,2731,244.1,0.6,0.99,0.1
274,2741,131.0,0.6,0.99,0.1
275,2751,84.7,0.6,0.99,0.1
276,2761,116.6,0.6,0.99,0.1
277,2771,121.6,0.6,0.99,0.1
278,2781,226.7,0.6,0.99,0.1
279,2791,173.3,0.6,0.99,0.1
280,2801,193.5,0.6,0.99,0.1
281,2811,107.0,0.6,0.99,0.1
282,2821,233.9,0.6,0.99,0.1
283,2831,156.4,0.6,0.99,0.1
284,2841,200.2,0.6,0.99,0.1
285,2851,173.2,0.6,0.99,0.1
